"","AppId","Rank","ReleaseDate","Category","Price","Seller","Developer","Screenshot","Size","StarsAllVersions","RatingsAllVersions","StarsCurrentVersion","RatingsCurrentVersion","Version","UpdatedDate","TopInAppPurchases","dummy_Book","dummy_Business","dummy_Education","dummy_Finance","dummy_Games","dummy_Medical","dummy_Music","dummy_Productivity","equalSD","Bigcom","AppAge","Version_2","UpCyle"
"1398",405602642,202,2010-12-16,"Games",2.99,"Electronic Arts Inc.","Electronic Arts",5,268.43,3.5,12400,3,5359,"1.0.2","2011-06-02",0,0,0,0,0,1,0,0,0,1,1,747,1,747
"1399",315021242,203,2009-05-16,"Games",0.99,"Kiragames Co., Ltd.","Kiragames Co., Ltd.",5,28.32,4,6859,4.5,44,"1.3.5","2012-10-31",1,0,0,0,0,1,0,0,0,1,0,1326,1,1326
"1400",512142109,204,2012-04-12,"Games",2.99,"Rockstar Games, Inc.","Rockstar Games",5,1135.23,4.5,1620,4.5,188,"1.1","2012-07-05",0,0,0,0,0,1,0,0,0,1,0,264,1,264
"1401",565841515,205,2012-11-15,"Games",0.99,"Triniti Interactive Limited","Triniti Interactive Limited",5,43.64,4,22,4,1,"1.1","2012-12-05",1,0,0,0,0,1,0,0,0,1,0,47,1,47
"1402",493342238,206,2012-03-28,"Games",1.99,"Max Albrecht","defense2000x",3,5.61,2.5,133,2.5,103,"0.8.5","2012-08-09",0,0,0,0,0,1,0,0,0,0,0,279,0,Inf
"1403",309527804,207,2009-04-01,"Games",0.99,"John Hartzog","John E. Hartzog",4,17.71,3.5,54133,3.5,13684,"1.8.6","2010-10-27",1,0,0,0,0,1,0,0,0,0,0,1371,1,1371
"1404",455650341,208,2011-09-15,"Games",0.99,"Jump Games Private Ltd","Jump Games Pvt.Ltd.",5,121.98,4.5,9165,4,158,"1.3.8","2012-11-06",10,0,0,0,0,1,0,0,0,1,0,474,1,474
"1405",516349924,209,2012-05-24,"Games",0.99,"Crescent Moon Games LLC","Crescent Moon Games",5,46.4,4.5,1013,4.5,111,"1.2.2","2012-10-22",5,0,0,0,0,1,0,0,0,1,0,222,1,222
"1406",331177703,210,2009-09-23,"Games",1.99,"Lawrence Ingraham","Tantrum Apps",5,19.47,4,279,4,19,"2.1.3","2012-11-02",0,0,0,0,0,1,0,0,0,0,0,1196,4,299
"1407",451403547,211,2012-09-06,"Games",6.99,"Gameloft S.A.","Gameloft",5,771.24,4.5,1022,4.5,181,"1.0.2","2012-11-02",6,0,0,0,0,1,0,0,0,1,0,117,1,117
"1408",407775125,212,2011-03-09,"Games",0.99,"Miniclip SA","Miniclip.com",5,15.28,4.5,23170,4.5,7084,"1.3.2","2012-03-03",6,0,0,0,0,1,0,0,0,1,0,664,1,664
"1409",463869460,213,2011-09-22,"Games",0.99,"2XL Games, Inc.","2XL Games, Inc.",5,86.74,4,2275,3.5,47,"1.0.9","2012-11-15",7,0,0,0,0,1,0,0,0,1,0,467,1,467
"1410",382991304,214,2010-08-05,"Games",2.99,"Hemisphere Games Inc","Hemisphere Games",5,17.15,4.5,13392,5,976,"2.1.0","2012-08-23",0,0,0,0,0,1,0,0,0,1,0,880,4,220
"1411",337133671,215,2009-12-14,"Games",0.99,"Electronic Arts Inc.","Electronic Arts",4,11.92,3.5,9162,3.5,834,"1.0.63","2011-06-23",0,0,0,0,0,1,0,0,0,1,1,1114,1,1114
"1412",441778701,216,2011-06-23,"Games",2.99,"Walt Disney","Disney",3,17.57,4,3858,4,447,"1.2.3","2012-06-11",0,0,0,0,0,1,0,0,0,0,1,558,1,558
"1413",579940411,217,2012-11-27,"Games",0.99,"Shoe the Goose","Shoe the Goose",5,44.86,4,14,4,14,"1"," Nov 27, 2012",0,0,0,0,0,1,0,0,0,1,0,35,1,35
